Date,Open,High,Low,Close,Adj Close,Volume;Adj CloseBTC
2018-04-22,606.119019,640.767029,593.869019,621.859985,621.859985,2426269952;234.175995
2018-04-23,621.198975,646.700012,621.034973,642.547974,642.547974,2386830080;236.462006
2018-04-24,643.398010,708.875000,643.398010,708.158020,708.158020,3581860096;231.268005
2018-04-25,707.062012,707.062012,600.211975,615.416016,615.416016,4216140032;226.389999
2018-04-26,618.078979,663.181030,604.007019,662.809021,662.809021,2984009984;219.429993
2018-04-27,662.109009,684.867981,647.031982,647.031982,647.031982,2598129920;229.285995
2018-04-28,644.645996,691.442017,644.645996,683.677979,683.677979,2496659968;225.854996
2018-04-29,683.911987,697.755981,670.513000,688.880981,688.880981,2740559872;225.807999
2018-04-30,689.760986,694.439026,666.117004,669.924011,669.924011,2853100032;236.145004
2018-05-01,670.463013,674.403015,637.539978,673.612976,673.612976,2678960128;232.078995
2018-05-02,674.075012,688.841980,667.419983,687.148987,687.148987,2822269952;234.929993
2018-05-03,686.591003,784.341003,686.591003,779.543030,779.543030,4210939904;240.358002
2018-05-04,776.775024,803.745972,762.632019,785.624023,785.624023,3533410048;239.018005
2018-05-05,784.583008,827.455017,784.237000,816.119995,816.119995,3035040000;236.121002
2018-05-06,816.088013,835.057007,764.882996,792.310974,792.310974,3105570048;229.781998
2018-05-07,793.338989,795.757996,710.177979,753.724976,753.724976,4316120064;237.334
2018-05-08,755.008972,774.249023,728.129028,752.856995,752.856995,2920489984;243.863007
2018-05-09,752.901978,759.528992,718.471985,752.275024,752.275024,2877870080;241.832001
2018-05-10,752.578979,766.747986,726.664001,727.276978,727.276978,2748950016;240.296005
2018-05-11,727.013000,736.976990,669.825012,679.585999,679.585999,3290080000;242.158005
2018-05-12,679.877014,691.411011,644.065979,686.047974,686.047974,2668480000;241.112
2018-05-13,687.174988,741.312012,675.318970,733.495972,733.495972,2362500096;236.376999
2018-05-14,732.732971,742.169983,695.791992,730.549011,730.549011,3005110016;236.929001
2018-05-15,731.143005,739.052002,700.994995,708.870972,708.870972,2523069952;237.604996
2018-05-16,708.086975,710.200012,682.541016,707.049988,707.049988,2476130048;236.153
2018-05-17,708.718018,718.833008,668.833984,672.656982,672.656982,2350619904;236.802002
2018-05-18,672.101990,695.031006,663.809021,694.367004,694.367004,2305740032;233.128006
2018-05-19,695.072021,715.578003,686.791016,696.530029,696.530029,2021549952;231.947006
2018-05-20,697.922974,723.752991,692.669006,715.369019,715.369019,2156910080;234.018005
2018-05-21,717.192993,719.278015,692.494019,699.221985,699.221985,2005170048;235.343994
2018-05-22,700.177979,700.976013,644.026001,647.741028,647.741028,2230469888;240.348007
2018-05-23,646.669983,651.635986,572.952026,583.585022,583.585022,2995429888;238.871994
2018-05-24,584.536011,610.817993,557.205994,601.755005,601.755005,2791099904;240.953003
2018-05-25,602.140015,617.185974,575.624023,586.734009,586.734009,2110919936;237.110001
2018-05-26,587.426025,606.174988,583.512024,587.280029,587.280029,1694300032;237.115997
2018-05-27,588.520020,590.328003,562.866028,572.668030,572.668030,1788790016;237.283005
2018-05-28,573.044983,576.049011,512.552002,516.036011,516.036011,2356900096;237.408005
2018-05-29,516.148010,572.263977,516.148010,565.388000,565.388000,2330820096;237.095993
2018-05-30,566.830017,583.135986,545.431030,559.590027,559.590027,2053970048;233.345001
2018-05-31,558.497009,585.538025,557.065979,577.645020,577.645020,1985040000;230.190002
2018-06-01,578.671997,589.093018,567.664978,580.043030,580.043030,1945890048;222.925995
2018-06-02,580.429016,597.077026,577.322021,591.807983,591.807983,1880390016;225.802994
2018-06-03,591.258972,624.513000,591.258972,618.328979,618.328979,1832550016;225.873993
2018-06-04,619.437012,623.429016,583.747009,592.984985,592.984985,1903430016;224.324005
2018-06-05,593.406006,611.330017,580.981995,609.302979,609.302979,1844269952;224.951996
2018-06-06,610.262024,611.643005,596.395996,607.124023,607.124023,1756530048;225.619003
2018-06-07,607.687012,616.143982,601.692993,605.187012,605.187012,1880140032;222.880997
2018-06-08,605.442993,608.810974,595.593018,601.077026,601.077026,1637779968;228.488998
2018-06-09,600.905029,608.583008,597.562012,597.562012,597.562012,1519309952;229.048004
2018-06-10,594.344971,594.344971,511.889008,526.479004,526.479004,2234880000;228.802994
2018-06-11,524.856995,536.857971,515.268982,533.283997,533.283997,1982119936;229.705002
2018-06-12,532.710022,538.955017,491.234985,496.842987,496.842987,1932760064;229.981995
2018-06-13,498.018005,501.904999,459.003998,477.493988,477.493988,2080130048;232.401993
2018-06-14,478.381012,523.544983,467.466003,519.742004,519.742004,2458650112;233.542999
2018-06-15,520.479980,521.304993,487.468994,491.003998,491.003998,1808269952;236.822998
2018-06-16,490.414001,503.222992,488.851013,499.641998,499.641998,1314109952;250.895004
2018-06-17,499.459991,507.640991,498.648010,500.447998,500.447998,1264870016;249.283997
2018-06-18,499.382996,521.796021,494.066010,518.890991,518.890991,1513869952;249.007004
2018-06-19,519.023010,542.353027,516.312012,537.956970,537.956970,1726569984;244.606003
2018-06-20,538.505981,541.015015,519.369019,536.268005,536.268005,1596290048;245.212006
2018-06-21,536.447021,543.716980,524.258972,527.367004,527.367004,1462070016;243.944
2018-06-22,527.193970,527.193970,456.877014,465.816986,465.816986,2226030080;246.990005
2018-06-23,466.273987,479.128998,462.393005,474.519989,474.519989,1651379968;244.296005
2018-06-24,474.768005,475.359009,426.468994,457.671997,457.671997,2490579968;240.514999
2018-06-25,455.936005,470.343994,448.895996,460.309998,460.309998,4007950080;242.798996
2018-06-26,460.733002,461.213013,432.772003,432.772003,432.772003,1356560000;243.593994
2018-06-27,432.243988,444.243011,424.838989,442.364990,442.364990,1368940032;250.990005
2018-06-28,442.290009,443.618011,419.683014,422.364990,422.364990,1360790016;249.011002
2018-06-29,422.587006,441.792999,407.946991,436.009003,436.009003,1564499968;257.063995
2018-06-30,436.209015,458.796997,436.209015,455.179993,455.179993,1475939968;263.071991
2018-07-01,455.242004,457.139008,446.385010,453.917999,453.917999,1511730048;258.621002
2018-07-02,453.824005,479.130005,447.110992,475.346985,475.346985,1625789952;255.412003
2018-07-03,475.385986,483.854004,462.582001,464.195007,464.195007,1683939968;256.335999
2018-07-04,464.151001,481.436005,455.184998,467.317993,467.317993,1549769984;260.885986
2018-07-05,467.286987,483.225006,464.628998,474.411987,474.411987,1828610048;271.912994
2018-07-06,474.356995,479.652008,457.614990,474.011993,474.011993,1627609984;269.029999
2018-07-07,474.057007,491.660004,466.835999,491.660004,491.660004,1358360064;266.207001
2018-07-08,492.067993,503.199005,488.416992,489.118988,489.118988,1344560000;270.785004
2018-07-09,488.877991,490.851990,475.174988,476.682007,476.682007,1533799936;269.227997
2018-07-10,476.161987,478.317993,433.959991,434.424011,434.424011,1789069952;284.894012
2018-07-11,434.515015,447.316010,429.506989,446.518005,446.518005,1422470016;293.11499
2018-07-12,446.502014,446.502014,422.809998,430.074005,430.074005,1495440000;310.867004
2018-07-13,430.740997,442.363007,430.740997,434.027008,434.027008,1489670016;292.053986
2018-07-14,434.510986,439.433990,431.473999,436.085999,436.085999,1235820032;287.463989
2018-07-15,435.882996,454.001007,433.920990,449.850006,449.850006,1350160000;285.82901
2018-07-16,450.424988,480.657990,446.798004,480.657990,480.657990,1858680064;278.088989
2018-07-17,480.076996,508.779999,468.915009,501.002014,501.002014,2288100096;279.471985
2018-07-18,500.838013,513.432983,474.359009,480.513000,480.513000,2371559936;274.901001
2018-07-19,480.627991,483.239990,465.141998,469.618988,469.618988,2068739968;273.614014
2018-07-20,469.307007,469.307007,443.692993,450.697998,450.697998,1821350016;278.980988
2018-07-21,450.678986,468.083008,445.776001,462.436005,462.436005,1504310016;275.833008
2018-07-22,462.437988,470.898010,458.118988,459.657013,459.657013,1338589952;277.221985
2018-07-23,459.438995,469.765991,449.727997,450.852997,450.852997,1596999936;276.049011
2018-07-24,451.135986,481.141998,450.565002,479.372986,479.372986,2287520000;288.278015
2018-07-25,479.906006,482.868011,466.473999,472.493011,472.493011,1930780032;288.696991
2018-07-26,472.330994,483.696014,461.424011,464.036987,464.036987,1621560064;292.686005
2018-07-27,464.009003,473.221985,458.290985,469.665985,469.665985,1734259968;293.623993
2018-07-28,469.678009,471.593994,462.989014,466.898010,466.898010,1531890048;294.427002
2018-07-29,466.915009,470.355988,462.712006,466.665009,466.665009,1631910016;289.589996
2018-07-30,466.826996,467.951996,448.640991,457.080994,457.080994,2141590000;287.721985
2018-07-31,457.244995,457.244995,430.444000,433.867004,433.867004,1820680000;284.649994
2018-08-01,433.868988,435.457001,410.463989,420.747009,420.747009,1888060000;281.601013
2018-08-02,420.806000,425.033997,410.308990,412.621002,412.621002,1569300000;282.614014
2018-08-03,412.566986,420.549011,399.910004,418.261993,418.261993,1722340000;281.22699
2018-08-04,418.237000,420.186005,403.776001,407.252014,407.252014,1466540000;285.217987
2018-08-05,407.346008,413.716003,402.432007,410.515991,410.515991,1396820000;281.881989
2018-08-06,410.566986,414.540009,403.315002,406.657990,406.657990,1384880000;278.576996
2018-08-07,406.800995,411.404999,376.076996,380.214996,380.214996,1828350000;279.584991
2018-08-08,379.891998,380.670990,353.734009,356.613007,356.613007,2016080000;260.997009
2018-08-09,356.971008,370.946014,353.614014,365.588013,365.588013,1616610000;265.083008
2018-08-10,365.776001,367.045013,329.585999,334.175995,334.175995,1699400000;264.470001
2018-08-11,334.264008,334.264008,308.488007,322.112000,322.112000,1790370000;270.385986
2018-08-12,320.822998,328.589996,318.601990,319.570007,319.570007,1625420000;266.376007
2018-08-13,320.209991,323.550995,284.933990,286.494995,286.494995,1751190000;264.079987
2018-08-14,286.364990,286.364990,254.649994,278.932007,278.932007,2137850000;265.679993
2018-08-15,280.386993,303.589996,280.118988,282.364014,282.364014,1878150000;261.550995
2018-08-16,282.740997,298.476013,280.928009,288.045990,288.045990,1552970000;258.506989
2018-08-17,287.683014,316.170013,287.346008,315.729004,315.729004,1995460000;257.976013
2018-08-18,316.790985,320.446014,286.550995,295.812012,295.812012,1764020000;211.078995
2018-08-19,295.670013,307.097992,291.332001,300.834015,300.834015,1447910000;226.684006
2018-08-20,301.381012,304.372009,273.510986,274.315002,274.315002,1413790000;235.350006
2018-08-21,273.330994,285.970001,273.330994,281.944000,281.944000,1164120000;232.569
2018-08-22,281.967987,297.485992,264.997986,271.341003,271.341003,1507660000;230.389999
2018-08-23,271.747986,279.545990,271.089996,277.104004,277.104004,1271160000;228.169006
2018-08-24,278.110992,283.302002,273.859985,282.967010,282.967010,1450170000;210.494995
2018-08-25,283.281006,283.515015,278.471008,279.645996,279.645996,1208360000;221.608994
2018-08-26,279.524994,279.524994,272.444000,275.196991,275.196991,1206650000;225.830994
2018-08-27,275.350006,285.602997,273.649994,285.602997,285.602997,1406790000;224.768997
2018-08-28,286.648987,297.399994,283.571991,296.498993,296.498993,1513350000;231.395996
2018-08-29,296.162994,297.071014,287.286987,289.312012,289.312012,1474460000;229.779999
2018-08-30,289.752991,291.243011,275.210999,284.105011,284.105011,1513100000;228.761002
2018-08-31,284.119995,284.550995,278.513000,283.003998,283.003998,1411910000;230.056
2018-09-01,283.496002,301.144012,283.496002,295.341003,295.341003,1546630000;228.121002
2018-09-02,295.453003,298.686005,290.925995,294.371002,294.371002,1321050000;229.283997
2018-09-03,295.181000,295.591003,287.432007,289.259003,289.259003,1394490000;227.182999
2018-09-04,289.296997,291.579987,284.255005,285.722992,285.722992,1554870000;230.298004
2018-09-05,286.045013,288.162994,232.330994,232.330994,232.330994,2390390000;235.018997
2018-09-06,231.647995,231.755005,218.123001,230.214996,230.214996,2097310000;239.839996
2018-09-07,229.535004,233.895996,217.074997,217.203003,217.203003,1678260000;239.847
2018-09-08,217.912003,220.367004,193.259003,197.951004,197.951004,1517200000;243.606995
2018-09-09,198.384995,207.666000,188.306000,196.923996,196.923996,1585980000;238.167999
2018-09-10,197.850998,201.882996,189.584000,197.078995,197.078995,1502960000;238.477005
2018-09-11,198.177002,198.505997,180.595993,185.065994,185.065994,1568900000;240.106995
2018-09-12,185.423004,185.587006,170.257004,183.330994,183.330994,1874850000;235.229004
2018-09-13,183.679001,214.001999,183.679001,211.354004,211.354004,2330720000;230.511993
2018-09-14,212.669006,222.794006,204.871002,211.748993,211.748993,2232190000;230.643997
2018-09-15,209.813995,226.604004,209.606003,223.074005,223.074005,1670490000;230.304001
2018-09-16,222.802994,222.802994,211.117996,220.589005,220.589005,1502260000;229.091003
2018-09-17,221.582001,224.261002,195.307999,197.875000,197.875000,2019910000;229.809998
2018-09-18,197.095001,213.356995,195.934006,209.975006,209.975006,1800640000;232.975006
2018-09-19,209.472000,213.871002,201.656006,209.968994,209.968994,1733330000;231.492996
2018-09-20,210.287994,224.817993,207.789001,224.591003,224.591003,1782070000;231.212006
2018-09-21,225.251007,248.388000,221.567001,246.584000,246.584000,2836200000;227.085007
2018-09-22,247.337006,251.195999,233.809998,240.479996,240.479996,1921820000;230.617996
2018-09-23,240.992004,247.464005,237.856995,244.330002,244.330002,1693470000;230.283005
2018-09-24,244.843994,245.108002,227.490005,228.729996,228.729996,1748740000;234.529007
2018-09-25,228.326996,228.326996,206.490005,218.505005,218.505005,2120360000;235.143997
2018-09-26,218.647003,221.436996,209.113007,215.847000,215.847000,1756100000;234.339996
2018-09-27,215.440002,230.606995,212.654007,228.494003,228.494003,2030320000;232.757004
2018-09-28,229.041000,231.748001,218.669006,222.401993,222.401993,2018120000;239.141998
2018-09-29,221.705002,234.014008,216.078003,231.634995,231.634995,2208720000;236.686996
2018-09-30,231.328995,236.985992,228.445007,232.848007,232.848007,1765560000;236.059998
2018-10-01,233.220001,234.145004,226.945007,230.768005,230.768005,1597500000;237.548996
2018-10-02,231.100006,231.167007,225.837997,227.181000,227.181000,1542080000;237.292999
