DateTime,BTC,ETH,USDT,BNB,SOL,Others
2017.03.19 ,15846004247,3193599257,44952207.56,0,0,2712044097
2017.03.26 ,15814856914,4574532781,44947036.55,0,0,3014063140
2017.04.02 ,17559345253,4582702035,54927878.02,0,0,3955925442
2017.04.09 ,19134336512,4009004642,54935165.62,0,0,4710423840
2017.04.16 ,19085099186,4450139912,50740673.16,0,0,5080119941
2017.04.23 ,20066218960,4420033152,51488828.56,0,0,5404459379
2017.04.30 ,21548458538,6248835923,59055708.81,0,0,7460451367
2017.05.07 ,25768507380,8942951790,60446157.41,0,0,11544294609
2017.05.14 ,29405073820,8322378947,60697425.27,0,0,16897250896
2017.05.21 ,33779318021,11705707879,61940825.29,0,0,25468834106
2017.05.28 ,33595986107,14608584508,107331369.8,0,0,20309897440
2017.06.04 ,41708285206,20659812408,107470687.9,0,0,28360735570
2017.06.11 ,48208688681,31296814565,130665290.6,0,0,30557831336
2017.06.18 ,43539274676,35133780829,126049773,0,0,33744892674
2017.06.25 ,42783762418,30005926010,147510147.9,0,0,36283804688
2017.07.02 ,40010469450,25572795596,219180430.5,0,0,29920157019
2017.07.09 ,42283166365,23454654722,219893503.3,0,0,30554285410
2017.07.16 ,32767572892,15823085103,295162363.3,0,0,21255877690
2017.07.23 ,46231142027,21418291140,317831289.2,0,0,29627939128
2017.07.30 ,44890666010,19360924119,318471136.1,10793543.61,0,25817144295
2017.08.06 ,53720893168,24053474690,320093043.8,12929250.3,0,34502610744
2017.08.13 ,64034105431,29161053352,319661283.8,44598975.78,0,40705584990
2017.08.20 ,69192659044,27918126333,318596320.4,0,0,48662617534
2017.08.27 ,71809248347,31517529779,319542631.1,217996716.5,0,52897679839
2017.09.03 ,75841707835,33059801353,348835807.9,0,0,55618439132
2017.09.10 ,70018089815,27797226687,405081602.6,98207825.42,0,49186857366
2017.09.17 ,59757816344,23272527159,445726239,0,0,40051147410
2017.09.24 ,62954280982,27129873955,443271716.7,77580380.44,0,41155964742
2017.10.01 ,72047302432,28615152628,435866669.5,128417861.5,0,46668646521
2017.10.08 ,73575423620,29550901435,436235346.8,157617509.4,0,46241181449
2017.10.15 ,97011856642,32292086679,437236582.9,149512708.2,0,46833193468
2017.10.22 ,1.00438E+11,28624836350,437025998.6,124292467.5,0,43499662817
2017.10.29 ,95819797363,28270164669,438159660.8,116675469.4,0,44367385878
2017.11.05 ,1.23388E+11,28661500793,494443671.5,162104811.7,0,46805554489
2017.11.12 ,1.0498E+11,30106190879,597637605.5,165243179.3,0,64702376265
2017.11.19 ,1.29595E+11,33284903532,645544981.8,165686207.7,0,69935933040
2017.11.26 ,1.46789E+11,44712118251,677815034.6,187605725.9,0,88930165466
2017.12.03 ,1.85258E+11,44560454568,814847511.5,206484986.3,0,98227074072
2017.12.10 ,2.53782E+11,45501434899,831977608.4,263509682.5,0,1.16548E+11
2017.12.17 ,3.26141E+11,67106371108,1132154310,462329807.9,0,1.84678E+11
2017.12.24 ,2.44824E+11,69671214844,1279864354,469508440,0,2.50039E+11
2017.12.31 ,2.16326E+11,68850777145,1401350863,768675994.2,0,2.72409E+11
2018.01.07 ,2.94222E+11,1.00981E+11,1478767718,2254460630,0,4.16222E+11
2018.01.14 ,2.41447E+11,1.35503E+11,1474488550,2203405215,0,3.63637E+11
2018.01.21 ,2.1674E+11,1.12226E+11,1622821100,1608866076,0,2.98438E+11
2018.01.28 ,1.93133E+11,1.08122E+11,1612504590,1317057887,0,2.57792E+11
2018.02.04 ,1.54553E+11,93953421902,2226848163,964954684.8,0,1.95507E+11
2018.02.11 ,1.45245E+11,83813030803,2228046516,911014993.1,0,1.9005E+11
2018.02.18 ,1.87663E+11,95077121296,2227521080,1157727816,0,2.27663E+11
